onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	2.0	feedback	1	G04	S01	1	coop
2.0	2.0	feedback	2	G04	S01	1	coop
4.0	2.0	feedback	3	G04	S01	1	coop
6.0	2.0	feedback	4	G04	S01	2	def
8.0	2.0	feedback	5	G04	S01	1	coop
10.0	2.0	feedback	6	G04	S01	1	coop
12.0	2.0	feedback	7	G04	S01	2	def
14.0	2.0	feedback	8	G04	S01	1	coop
16.0	2.0	feedback	9	G04	S01	1	coop
18.0	2.0	feedback	10	G04	S01	2	def
20.0	2.0	feedback	11	G04	S01	1	coop
22.0	2.0	feedback	12	G04	S01	1	coop
24.0	2.0	feedback	13	G04	S01	2	def
26.0	2.0	feedback	14	G04	S01	1	coop
28.0	2.0	feedback	15	G04	S01	1	coop
30.0	2.0	feedback	16	G04	S01	2	def
32.0	2.0	feedback	17	G04	S01	1	coop
34.0	2.0	feedback	18	G04	S01	1	coop
36.0	2.0	feedback	19	G04	S01	1	coop
38.0	2.0	feedback	20	G04	S01	1	coop
40.0	2.0	feedback	21	G04	S01	1	coop
42.0	2.0	feedback	22	G04	S01	1	coop
44.0	2.0	feedback	23	G04	S01	1	coop
46.0	2.0	feedback	24	G04	S01	1	coop
48.0	2.0	feedback	25	G04	S01	1	coop
50.0	2.0	feedback	26	G04	S01	1	coop
52.0	2.0	feedback	27	G04	S01	1	coop
54.0	2.0	feedback	28	G04	S01	1	coop
56.0	2.0	feedback	29	G04	S01	1	coop
58.0	2.0	feedback	30	G04	S01	1	coop
60.0	2.0	feedback	31	G04	S01	1	coop
62.0	2.0	feedback	32	G04	S01	1	coop
64.0	2.0	feedback	33	G04	S01	1	coop
66.0	2.0	feedback	34	G04	S01	1	coop
68.0	2.0	feedback	35	G04	S01	1	coop
70.0	2.0	feedback	36	G04	S01	1	coop
72.0	2.0	feedback	37	G04	S01	1	coop
74.0	2.0	feedback	38	G04	S01	1	coop
76.0	2.0	feedback	39	G04	S01	1	coop
78.0	2.0	feedback	40	G04	S01	1	coop
