onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	4.0	decision	1	G05	S01	1	coop
4.0	4.0	decision	2	G05	S01	1	coop
8.0	4.0	decision	3	G05	S01	1	coop
12.0	4.0	decision	4	G05	S01	1	coop
16.0	4.0	decision	5	G05	S01	1	coop
20.0	4.0	decision	6	G05	S01	2	def
24.0	4.0	decision	7	G05	S01	2	def
28.0	4.0	decision	8	G05	S01	1	coop
32.0	4.0	decision	9	G05	S01	2	def
36.0	4.0	decision	10	G05	S01	2	def
40.0	4.0	decision	11	G05	S01	2	def
44.0	4.0	decision	12	G05	S01	2	def
48.0	4.0	decision	13	G05	S01	1	coop
52.0	4.0	decision	14	G05	S01	2	def
56.0	4.0	decision	15	G05	S01	2	def
60.0	4.0	decision	16	G05	S01	2	def
64.0	4.0	decision	17	G05	S01	2	def
68.0	4.0	decision	18	G05	S01	2	def
72.0	4.0	decision	19	G05	S01	2	def
76.0	4.0	decision	20	G05	S01	1	coop
80.0	4.0	decision	21	G05	S01	1	coop
84.0	4.0	decision	22	G05	S01	2	def
88.0	4.0	decision	23	G05	S01	2	def
92.0	4.0	decision	24	G05	S01	2	def
96.0	4.0	decision	25	G05	S01	2	def
100.0	4.0	decision	26	G05	S01	2	def
104.0	4.0	decision	27	G05	S01	2	def
108.0	4.0	decision	28	G05	S01	2	def
112.0	4.0	decision	29	G05	S01	2	def
116.0	4.0	decision	30	G05	S01	2	def
120.0	4.0	decision	31	G05	S01	2	def
124.0	4.0	decision	32	G05	S01	1	coop
128.0	4.0	decision	33	G05	S01	1	coop
132.0	4.0	decision	34	G05	S01	2	def
136.0	4.0	decision	35	G05	S01	2	def
140.0	4.0	decision	36	G05	S01	2	def
144.0	4.0	decision	37	G05	S01	2	def
148.0	4.0	decision	38	G05	S01	2	def
152.0	4.0	decision	39	G05	S01	2	def
156.0	4.0	decision	40	G05	S01	2	def
